product_sku;attribute_name;attribute_value
79395490;categorie_accessoire_0;Consommables d'impression
79395490;compatibilite_materiel_informatique_0;PC
79395490;consommables_inclus_0;Pack de 1
79395490;nombre_pages_imprimables_0;1800 pages
79395490;couleur_article_0;Cyan
79395490;type_consommable_0;Cartouche de toner
79395490;cartouche_compatible_0;Samsung CLT_C504S
79395491;note_environnementale;C
79395491;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/armor.html
79395491;categorie_accessoire_0;Consommables d'impression
79395491;compatibilite_materiel_informatique_0;PC
79395491;consommables_inclus_0;Pack de 1
79395491;nombre_pages_imprimables_0;1800 pages
79395491;couleur_article_0;Magenta
79395491;type_consommable_0;Cartouche de toner
79395491;cartouche_compatible_0;Samsung CLT_M504S
79395497;note_environnementale;B
79395497;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/armor.html
79395497;categorie_accessoire_0;Consommables d'impression
79395497;compatibilite_materiel_informatique_0;PC
79395497;consommables_inclus_0;Pack de 1
79395497;nombre_pages_imprimables_0;10000 pages
79395497;couleur_article_0;Noir
79395497;type_consommable_0;Cartouche de toner
79395497;cartouche_compatible_0;Lexmark 60F2H00
79395512;hauteur_produi;50 cm
79395512;largeur_produit;39 cm
79395512;note_environnementale;C
79395512;profondeur_produit;27.5 cm
79395512;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/fellowes.html
79395512;points_forts_0;<ul><li>Technologie 100% anti-bourrage élimine les bourrages et les gère en cours de destruction lors de mauvaises insertions</li><li>Technologie exclusive SafeSense qui arrête le destructeur dès qu'une main s'approche de la fente d'insertion</li><li>Technologie SilentShred réduit les désagréments sonores dans les espaces partagés</li><li>Cycle de fonctionnement jusqu'à 20 minutes</li><li>Design moderne et fin</li><li>Coupe croisée, détruit 16 feuilles par passage en particules de 4 x 38 mm (niveau de sécurité DIN P-4)</li><li>Détruit cartes de crédit, agrafes, trombones et CD</li><li>Corbeille extractible de 23 L</li><li>Garantie machine de 2 ans et de 5 ans sur les cylindres de coupe</li><li>Pour 1 à 3 utilisateur(s)</li></ul>
79395512;capacite_corbeille_0;23 l
79395512;elements_dechiquetes_0;Trombones
79395512;elements_dechiquetes_1;Papier
79395512;elements_dechiquetes_2;CD
79395512;elements_dechiquetes_3;Cartes de crédit
79395512;elements_dechiquetes_4;Agrafes
79395512;niveau_securite_0;S3
79395512;nombre_feuilles_simultanees_0;14.0
79395512;type_coupe_0;Coupe croisée
79393301;note_environnementale;D
79393301;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/x-doria.html
79393301;utilisation_recommandee_maroquinerie_0;Pour téléphone portable
79393301;type_maroquinerie;Coque de protection
79393301;materiau_maroquinerie_0;Polycarbonate
79394413;note_environnementale;C
79394413;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/muvit.html
79394413;finition_surface_0;Brillant/mat
79391902;technologie_connectivite_0;Filaire
79391902;hauteur_produi;28.9 cm
79391902;largeur_produit;40 cm
79391902;note_environnementale;C
79391902;poids_produit;99.9 kg
79391902;profondeur_produit;37.6 cm
79391902;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/canon.html
79391902;points_forts_0;<ul><li>33 ppm, première sortie en 6 secondes</li><li>Résolution d'impression de 1200 x 1200 dpi</li><li>Mémoire intégrée de 512 Mo</li><li>Panneau de commande intuitif</li><li>Gigabit Ethernet</li><li>Faible consommation d'énergie</li><li>Impression recto verso</li><li>Facilité de remplacement des cartouches de toner</li></ul>
79391902;compatibilite_materiel_informatique_0;PC
79391902;type_alimentation_0;Alimentation électrique
79391902;compatibilite_materiel_informatique_1;Mac
79391902;interface_connectivite_0;USB
79391902;interface_connectivite_1;Gigabit LAN
79391902;protocole_liaison_donnees_0;Ethernet, Fast Ethernet, Gigabit Ethernet
79391902;technologie_connectivite_reseaux_0;Filaire
79391902;technologie_impression_0;Laser
79391902;type_reseaux_0;Serveur d'impression
79391902;classe_taille_support_0;A4/Legal
79391902;impression_recto_verso_0;Oui
79391902;type_article_bureau_0;Imprimante
79391902;type_scanner_0;Aucun(e)
79391902;type_sortie_impression_0;Monochrome
79419733;note_environnementale;B
79419733;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/sokoa.html
79419733;poids_max_supporte_en_kg_0;110 kg
79419733;couleur_pietement_obj_0_label;Aluminium
79419733;couleur_pietement_obj_0_value;aluminium
79419733;duree_utilisation_en_heures_obj_0_label;8 H
79419733;duree_utilisation_en_heures_obj_0_value;8
79419733;couleur_fauteuil_0;Noir
79419733;duree_utilisation_en_heures_0;8 H
79419734;note_environnementale;B
79419734;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/sokoa.html
79419734;poids_max_supporte_en_kg_0;110 kg
79419734;couleur_pietement_obj_0_label;Aluminium
79419734;couleur_pietement_obj_0_value;aluminium
79419734;duree_utilisation_en_heures_obj_0_label;8 H
79419734;duree_utilisation_en_heures_obj_0_value;8
79419734;couleur_fauteuil_0;Bleu
79419734;duree_utilisation_en_heures_0;8 H
79394421;note_environnementale;C
79394421;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/muvit.html
79394421;utilisation_recommandee_maroquinerie_0;Pour téléphone portable
79394421;type_maroquinerie;Coque de protection
79394423;note_environnementale;C
79394423;poids_produit;400 g
79394423;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/muvit.html
