promo_id;product_sku;reference_price;discount_value
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405225770;549.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;405225776;569.0;30.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;300028955;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79138572;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79138568;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79148590;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79360300;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79136884;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79418465;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79360303;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;300028954;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79136888;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79360302;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79360299;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79136889;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;300028956;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79148589;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;300028957;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79360301;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79136892;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79418552;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79138567;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79136890;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79138569;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79138571;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79136883;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79138573;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79148591;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79418464;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79418463;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79138570;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79136887;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;300028958;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79148592;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79136885;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79418462;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79148593;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79136891;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79407755;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79407756;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79407752;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79407753;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79407759;4.39;20.0
OPE-SEPTEMBRE-2-PERCENT-DISCOUNT;79407758;4.39;20.0
