sku;product_name;created_at;updated_at;status;tax_class_id;brand;barcode;product_type;product_typology;product_condition;authorized_shop_sale;product_sales;rating_summary;total_reviews
79395705;MUVIT adaptateur secteur;2025-05-25 19:47:00;2025-05-29 01:10:00;Enabled;Classe de taxe produit 20%;muvit;370000000000000000;StockÃ©;standard;;;2.0;;0.0
79395717;Brepols Biloba - Album - 500 x 4x6 in (10x15 cm);2025-05-26 18:41:00;2025-05-28 18:01:00;Enabled;Classe de taxe produit 20%;Brepols;54100000000000000;StockÃ©;standard;;;2.0;;0.0
79395718;Brepols Biloba - Album - 200 x 4,3x6 po (11,5x15 cm);2025-05-26 18:41:00;2025-05-28 18:01:00;Enabled;Classe de taxe produit 20%;Brepols;54100000000000000;StockÃ©;standard;;;2.0;;0.0
79395719;Brepols Amici album;2025-05-26 18:41:00;2025-05-28 18:01:00;Enabled;Classe de taxe produit 20%;Brepols;54100000000000000;StockÃ©;standard;;;2.0;;0.0
79395720;Brepols Rainbow album;2025-05-26 18:41:00;2025-05-28 18:01:00;Enabled;Classe de taxe produit 20%;Brepols;54100000000000000;StockÃ©;standard;;;2.0;;0.0
79395722;Brepols Caleido album;2025-05-26 18:41:00;2025-05-28 18:01:00;Enabled;Classe de taxe produit 20%;Brepols;54100000000000000;StockÃ©;standard;;;2.0;;0.0
79395732;HP Envy 5640 e-All-in-One - imprimante multifonction (couleur);2025-05-25 07:47:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;HP;88800000000000000;StockÃ©;standard;;;2.0;;0.0
79395733;HP Officejet 5740 e-All-in-One - imprimante multifonction (couleur);2025-05-25 07:47:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;HP;88800000000000000;StockÃ©;standard;;;2.0;;0.0
79395734;HP Envy 7640 e-All-in-One - imprimante multifonction (couleur);2025-05-25 07:47:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;HP;88800000000000000;StockÃ©;standard;;;2.0;;0.0
79395735;HP Envy 4507 e-All-in-One - imprimante multifonction (couleur);2025-05-25 07:47:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;HP;88900000000000000;StockÃ©;standard;;;2.0;;0.0
79395779;Clairefontaine Wati B - Trousse - Plumier;2025-05-26 00:25:00;2025-05-29 09:59:00;Enabled;Classe de taxe produit 20%;Clairefontaine;333000000000000000;StockÃ©;standard;;;2.0;;0.0
79396840;X-Doria Dash Folio View - protection Ã  rabat pour tÃ©lÃ©phone portable;2025-05-25 06:16:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;X-Doria;695000000000000000;StockÃ©;standard;;;2.0;;0.0
79391167;HP 82 - jaune - cartouche d'encre originale (CH568A);2025-05-24 21:50:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;HP;8840000000000000;StockÃ©;cartridge;;;2.0;;0.0
79393339;LifeProof NÃÃD - Ã©tui Ã©tanche pour tablette;2025-05-25 06:16:00;2025-05-28 22:10:00;Enabled;Classe de taxe produit 20%;LifeProof;82000000000000000;StockÃ©;standard;;;2.0;;0.0
